




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (18547)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
nucleoside monophosphate metabolic process (GO:0009123)	47	44	31.73	+	1.39	2.99E-05	2.96E-04
base-excision repair (GO:0006284)	31	29	20.93	+	1.39	8.83E-04	6.12E-03
protein modification by small protein removal (GO:0070646)	31	29	20.93	+	1.39	8.83E-04	6.12E-03
sulfur compound transport (GO:0072348)	31	29	20.93	+	1.39	8.83E-04	6.11E-03
nucleoside monophosphate biosynthetic process (GO:0009124)	46	43	31.05	+	1.38	4.77E-05	4.55E-04
negative regulation of protein metabolic process (GO:0051248)	46	43	31.05	+	1.38	4.77E-05	4.54E-04
regulation of DNA metabolic process (GO:0051052)	107	100	72.23	+	1.38	1.36E-10	2.87E-09
chloroplast organization (GO:0009658)	243	227	164.04	+	1.38	1.42E-22	6.38E-21
response to oxygen levels (GO:0070482)	273	255	184.29	+	1.38	3.27E-25	1.88E-23
plastid organization (GO:0009657)	318	297	214.67	+	1.38	4.36E-29	3.14E-27
response to decreased oxygen levels (GO:0036293)	271	253	182.94	+	1.38	8.05E-25	4.59E-23
lipid modification (GO:0030258)	90	84	60.75	+	1.38	5.66E-09	1.01E-07
toxin metabolic process (GO:0009404)	60	56	40.50	+	1.38	2.64E-06	3.16E-05
intracellular protein transmembrane transport (GO:0065002)	30	28	20.25	+	1.38	1.39E-03	9.24E-03
L-serine metabolic process (GO:0006563)	30	28	20.25	+	1.38	1.39E-03	9.23E-03
regulation of photosynthesis, light reaction (GO:0042548)	30	28	20.25	+	1.38	1.39E-03	9.22E-03
regulation of plant-type hypersensitive response (GO:0010363)	30	28	20.25	+	1.38	1.39E-03	9.21E-03
plastid membrane organization (GO:0009668)	60	56	40.50	+	1.38	2.64E-06	3.15E-05
response to hypoxia (GO:0001666)	267	249	180.24	+	1.38	3.13E-24	1.70E-22
alpha-amino acid metabolic process (GO:1901605)	281	262	189.69	+	1.38	1.83E-25	1.07E-23
regulation of response to salt stress (GO:1901000)	44	41	29.70	+	1.38	7.47E-05	6.80E-04
regulation of polysaccharide biosynthetic process (GO:0032885)	29	27	19.58	+	1.38	2.23E-03	1.41E-02
hyperosmotic salinity response (GO:0042538)	58	54	39.15	+	1.38	6.87E-06	7.65E-05
nucleotide-sugar biosynthetic process (GO:0009226)	43	40	29.03	+	1.38	1.17E-04	1.01E-03
DNA-templated DNA replication (GO:0006261)	113	105	76.28	+	1.38	1.19E-10	2.53E-09
ceramide metabolic process (GO:0006672)	28	26	18.90	+	1.38	3.67E-03	2.12E-02
vacuolar transport (GO:0007034)	112	104	75.61	+	1.38	1.84E-10	3.87E-09
photosystem II assembly (GO:0010207)	28	26	18.90	+	1.38	3.67E-03	2.12E-02
nucleobase biosynthetic process (GO:0046112)	28	26	18.90	+	1.38	3.67E-03	2.12E-02
ribonucleoside monophosphate metabolic process (GO:0009161)	42	39	28.35	+	1.38	1.87E-04	1.56E-03
nucleobase metabolic process (GO:0009112)	42	39	28.35	+	1.38	1.87E-04	1.56E-03
protein localization to organelle (GO:0033365)	332	308	224.12	+	1.37	1.12E-28	7.79E-27
mitochondrial gene expression (GO:0140053)	69	64	46.58	+	1.37	9.11E-07	1.18E-05
regulation of DNA replication (GO:0006275)	55	51	37.13	+	1.37	1.63E-05	1.71E-04
ribonucleoside monophosphate biosynthetic process (GO:0009156)	41	38	27.68	+	1.37	3.05E-04	2.41E-03
phospholipid metabolic process (GO:0006644)	218	202	147.16	+	1.37	7.21E-19	2.78E-17
microtubule polymerization or depolymerization (GO:0031109)	27	25	18.23	+	1.37	3.45E-03	2.03E-02
regulation of chromosome segregation (GO:0051983)	27	25	18.23	+	1.37	3.45E-03	2.03E-02
'de novo' protein folding (GO:0006458)	54	50	36.45	+	1.37	1.62E-05	1.71E-04
maintenance of protein location (GO:0045185)	27	25	18.23	+	1.37	3.45E-03	2.03E-02
phosphatidylinositol dephosphorylation (GO:0046856)	27	25	18.23	+	1.37	3.45E-03	2.02E-02
maintenance of protein location in cell (GO:0032507)	27	25	18.23	+	1.37	3.45E-03	2.02E-02
quinone metabolic process (GO:1901661)	27	25	18.23	+	1.37	3.45E-03	2.02E-02
protein phosphorylation (GO:0006468)	202	187	136.36	+	1.37	1.80E-17	6.09E-16
recombinational repair (GO:0000725)	94	87	63.45	+	1.37	1.20E-08	2.07E-07
cellular component disassembly (GO:0022411)	94	87	63.45	+	1.37	1.20E-08	2.06E-07
protein polyubiquitination (GO:0000209)	67	62	45.23	+	1.37	1.44E-06	1.79E-05
cortical cytoskeleton organization (GO:0030865)	67	62	45.23	+	1.37	1.44E-06	1.78E-05
chaperone-mediated protein folding (GO:0061077)	67	62	45.23	+	1.37	1.44E-06	1.78E-05
nuclear export (GO:0051168)	67	62	45.23	+	1.37	1.44E-06	1.78E-05
innate immune response-activating signaling pathway (GO:0002758)	40	37	27.00	+	1.37	2.86E-04	2.27E-03
regulation of protein metabolic process (GO:0051246)	146	135	98.56	+	1.37	8.91E-13	2.24E-11
regulation of seedling development (GO:1900140)	106	98	71.56	+	1.37	1.09E-09	2.15E-08
polyol metabolic process (GO:0019751)	53	49	35.78	+	1.37	2.48E-05	2.50E-04
import into cell (GO:0098657)	119	110	80.33	+	1.37	1.01E-10	2.18E-09
DNA repair (GO:0006281)	330	305	222.77	+	1.37	1.35E-27	8.89E-26
G protein-coupled receptor signaling pathway (GO:0007186)	26	24	17.55	+	1.37	5.43E-03	2.96E-02
mitochondrial membrane organization (GO:0007006)	26	24	17.55	+	1.37	5.43E-03	2.95E-02
regulation of response to osmotic stress (GO:0047484)	52	48	35.10	+	1.37	3.87E-05	3.77E-04
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	26	24	17.55	+	1.37	5.43E-03	2.95E-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	26	24	17.55	+	1.37	5.43E-03	2.95E-02
purine nucleoside monophosphate biosynthetic process (GO:0009127)	26	24	17.55	+	1.37	5.43E-03	2.94E-02
purine nucleoside monophosphate metabolic process (GO:0009126)	26	24	17.55	+	1.37	5.43E-03	2.94E-02
branched-chain amino acid metabolic process (GO:0009081)	52	48	35.10	+	1.37	3.87E-05	3.76E-04
quinone biosynthetic process (GO:1901663)	26	24	17.55	+	1.37	5.43E-03	2.94E-02
glucose 6-phosphate metabolic process (GO:0051156)	39	36	26.33	+	1.37	4.48E-04	3.43E-03
spliceosomal snRNP assembly (GO:0000387)	26	24	17.55	+	1.37	5.43E-03	2.94E-02
hexose biosynthetic process (GO:0019319)	26	24	17.55	+	1.37	5.43E-03	2.93E-02
protein autophosphorylation (GO:0046777)	117	108	78.98	+	1.37	2.42E-10	5.01E-09
double-strand break repair (GO:0006302)	129	119	87.08	+	1.37	3.60E-11	8.21E-10
intracellular transport (GO:0046907)	564	520	380.73	+	1.37	2.12E-45	2.58E-43
regulation of mitotic cell cycle phase transition (GO:1901990)	51	47	34.43	+	1.37	6.19E-05	5.73E-04
DNA replication (GO:0006260)	127	117	85.73	+	1.36	5.30E-11	1.18E-09
tRNA modification (GO:0006400)	76	70	51.30	+	1.36	4.82E-07	6.51E-06
organophosphate ester transport (GO:0015748)	76	70	51.30	+	1.36	4.82E-07	6.50E-06
regulation of chromosome organization (GO:0033044)	38	35	25.65	+	1.36	7.16E-04	5.14E-03
DNA duplex unwinding (GO:0032508)	38	35	25.65	+	1.36	7.16E-04	5.13E-03
DNA geometric change (GO:0032392)	38	35	25.65	+	1.36	7.16E-04	5.12E-03
regulation of catabolic process (GO:0009894)	152	140	102.61	+	1.36	7.26E-13	1.84E-11
regulation of RNA splicing (GO:0043484)	38	35	25.65	+	1.36	7.16E-04	5.12E-03
protein targeting to membrane (GO:0006612)	63	58	42.53	+	1.36	5.35E-06	6.05E-05
cytoplasmic microtubule organization (GO:0031122)	63	58	42.53	+	1.36	5.35E-06	6.04E-05
double-strand break repair via homologous recombination (GO:0000724)	88	81	59.40	+	1.36	6.73E-08	1.06E-06
Golgi to plasma membrane transport (GO:0006893)	25	23	16.88	+	1.36	8.71E-03	4.38E-02
late endosome to vacuole transport (GO:0045324)	50	46	33.75	+	1.36	6.04E-05	5.60E-04
DNA replication initiation (GO:0006270)	25	23	16.88	+	1.36	8.71E-03	4.37E-02
nuclear transport (GO:0051169)	112	103	75.61	+	1.36	1.45E-09	2.79E-08
nucleocytoplasmic transport (GO:0006913)	112	103	75.61	+	1.36	1.45E-09	2.78E-08
regulation of seed germination (GO:0010029)	99	91	66.83	+	1.36	1.56E-08	2.65E-07
peroxisome organization (GO:0007031)	37	34	24.98	+	1.36	7.01E-04	5.07E-03
endoplasmic reticulum organization (GO:0007029)	37	34	24.98	+	1.36	7.01E-04	5.06E-03
ketone biosynthetic process (GO:0042181)	37	34	24.98	+	1.36	7.01E-04	5.05E-03
sphingolipid biosynthetic process (GO:0030148)	37	34	24.98	+	1.36	7.01E-04	5.05E-03
establishment of protein localization to organelle (GO:0072594)	271	249	182.94	+	1.36	1.20E-21	5.28E-20
organic acid catabolic process (GO:0016054)	160	147	108.01	+	1.36	2.45E-13	6.57E-12
carboxylic acid catabolic process (GO:0046395)	160	147	108.01	+	1.36	2.45E-13	6.54E-12
positive regulation of gene expression (GO:0010628)	86	79	58.05	+	1.36	1.69E-07	2.51E-06
protein transmembrane import into intracellular organelle (GO:0044743)	49	45	33.08	+	1.36	9.25E-05	8.29E-04
regulation of DNA-templated DNA replication (GO:0090329)	49	45	33.08	+	1.36	9.25E-05	8.27E-04
negative regulation of flower development (GO:0009910)	49	45	33.08	+	1.36	9.25E-05	8.26E-04
monocarboxylic acid catabolic process (GO:0072329)	61	56	41.18	+	1.36	1.28E-05	1.37E-04
trichoblast differentiation (GO:0010054)	134	123	90.46	+	1.36	2.81E-11	6.49E-10
RNA 3'-end processing (GO:0031123)	73	67	49.28	+	1.36	1.85E-06	2.27E-05
DNA damage response (GO:0006974)	375	344	253.14	+	1.36	2.96E-29	2.16E-27
establishment of localization in cell (GO:0051649)	616	565	415.83	+	1.36	2.11E-47	2.89E-45
biological process involved in symbiotic interaction (GO:0044403)	24	22	16.20	+	1.36	8.54E-03	4.31E-02
radial pattern formation (GO:0009956)	24	22	16.20	+	1.36	8.54E-03	4.31E-02
phototropism (GO:0009638)	24	22	16.20	+	1.36	8.54E-03	4.30E-02
chaperone cofactor-dependent protein refolding (GO:0051085)	48	44	32.40	+	1.36	1.45E-04	1.23E-03
'de novo' post-translational protein folding (GO:0051084)	48	44	32.40	+	1.36	1.45E-04	1.23E-03
anatomical structure maturation (GO:0071695)	132	121	89.11	+	1.36	6.64E-11	1.44E-09
RNA localization (GO:0006403)	60	55	40.50	+	1.36	2.05E-05	2.11E-04
aromatic amino acid family biosynthetic process (GO:0009073)	60	55	40.50	+	1.36	2.05E-05	2.11E-04
regulation of cell cycle phase transition (GO:1901987)	72	66	48.60	+	1.36	1.76E-06	2.15E-05
root hair cell differentiation (GO:0048765)	131	120	88.43	+	1.36	1.06E-10	2.27E-09
trichoblast maturation (GO:0048764)	131	120	88.43	+	1.36	1.06E-10	2.26E-09
cell maturation (GO:0048469)	131	120	88.43	+	1.36	1.06E-10	2.25E-09
ERAD pathway (GO:0036503)	59	54	39.83	+	1.36	1.95E-05	2.02E-04
sulfur compound biosynthetic process (GO:0044272)	165	151	111.38	+	1.36	2.98E-13	7.91E-12
intracellular protein transport (GO:0006886)	353	323	238.29	+	1.36	6.72E-27	4.23E-25
cell cycle phase transition (GO:0044770)	47	43	31.73	+	1.36	2.31E-04	1.88E-03
plastid localization (GO:0051644)	35	32	23.63	+	1.35	1.68E-03	1.09E-02
negative regulation of cell cycle (GO:0045786)	58	53	39.15	+	1.35	3.00E-05	2.97E-04
regulation of RNA stability (GO:0043487)	58	53	39.15	+	1.35	3.00E-05	2.96E-04
response to disaccharide (GO:0034285)	81	74	54.68	+	1.35	5.79E-07	7.66E-06
toxin catabolic process (GO:0009407)	46	42	31.05	+	1.35	2.21E-04	1.82E-03
mitotic cell cycle phase transition (GO:0044772)	46	42	31.05	+	1.35	2.21E-04	1.82E-03
tRNA processing (GO:0008033)	103	94	69.53	+	1.35	1.77E-08	2.98E-07
regulatory ncRNA processing (GO:0070918)	57	52	38.48	+	1.35	4.70E-05	4.52E-04
establishment of RNA localization (GO:0051236)	57	52	38.48	+	1.35	4.70E-05	4.51E-04
RNA transport (GO:0050658)	57	52	38.48	+	1.35	4.70E-05	4.50E-04
nucleic acid transport (GO:0050657)	57	52	38.48	+	1.35	4.70E-05	4.50E-04
phospholipid dephosphorylation (GO:0046839)	34	31	22.95	+	1.35	2.68E-03	1.64E-02
chloroplast localization (GO:0019750)	34	31	22.95	+	1.35	2.68E-03	1.64E-02
response to sucrose (GO:0009744)	79	72	53.33	+	1.35	1.41E-06	1.76E-05
negative regulation of cell cycle process (GO:0010948)	56	51	37.80	+	1.35	4.65E-05	4.49E-04
establishment of protein localization to vacuole (GO:0072666)	56	51	37.80	+	1.35	4.65E-05	4.48E-04
protein localization to vacuole (GO:0072665)	56	51	37.80	+	1.35	4.65E-05	4.48E-04
DNA metabolic process (GO:0006259)	459	418	309.85	+	1.35	1.89E-33	1.57E-31
circadian rhythm (GO:0007623)	123	112	83.03	+	1.35	8.45E-10	1.68E-08
rhythmic process (GO:0048511)	123	112	83.03	+	1.35	8.45E-10	1.68E-08
establishment of protein localization (GO:0045184)	557	507	376.00	+	1.35	3.47E-40	3.58E-38
aromatic amino acid metabolic process (GO:0009072)	89	81	60.08	+	1.35	2.97E-07	4.21E-06
protein targeting to mitochondrion (GO:0006626)	55	50	37.13	+	1.35	7.02E-05	6.42E-04
regulation of cellular pH (GO:0030641)	33	30	22.28	+	1.35	2.57E-03	1.59E-02
regulation of intracellular pH (GO:0051453)	33	30	22.28	+	1.35	2.57E-03	1.59E-02
positive regulation of protein metabolic process (GO:0051247)	55	50	37.13	+	1.35	7.02E-05	6.41E-04
regulation of mRNA processing (GO:0050684)	33	30	22.28	+	1.35	2.57E-03	1.59E-02
multidimensional cell growth (GO:0009825)	44	40	29.70	+	1.35	5.30E-04	3.98E-03
response to carbohydrate (GO:0009743)	197	179	132.98	+	1.35	1.38E-14	3.95E-13
supramolecular fiber organization (GO:0097435)	175	159	118.13	+	1.35	4.29E-13	1.12E-11
rRNA processing (GO:0006364)	239	217	161.34	+	1.35	2.05E-17	6.79E-16
Golgi vesicle transport (GO:0048193)	206	187	139.06	+	1.34	4.67E-15	1.38E-13
activation of innate immune response (GO:0002218)	54	49	36.45	+	1.34	1.08E-04	9.40E-04
regulation of mRNA stability (GO:0043488)	54	49	36.45	+	1.34	1.08E-04	9.38E-04
protein transmembrane transport (GO:0071806)	97	88	65.48	+	1.34	9.61E-08	1.47E-06
regulation of actin filament-based process (GO:0032970)	43	39	29.03	+	1.34	5.24E-04	3.95E-03
protein N-linked glycosylation (GO:0006487)	43	39	29.03	+	1.34	5.24E-04	3.95E-03
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	43	39	29.03	+	1.34	5.24E-04	3.94E-03
root epidermal cell differentiation (GO:0010053)	150	136	101.26	+	1.34	3.06E-11	7.04E-10
regulation of cell cycle G2/M phase transition (GO:1902749)	32	29	21.60	+	1.34	3.93E-03	2.27E-02
mitochondrial transmembrane transport (GO:1990542)	64	58	43.20	+	1.34	2.25E-05	2.28E-04
induced systemic resistance (GO:0009682)	32	29	21.60	+	1.34	3.93E-03	2.26E-02
amino acid metabolic process (GO:0006520)	403	365	272.05	+	1.34	5.57E-28	3.76E-26
nucleotide-sugar metabolic process (GO:0009225)	53	48	35.78	+	1.34	1.69E-04	1.43E-03
cortical microtubule organization (GO:0043622)	53	48	35.78	+	1.34	1.69E-04	1.43E-03
regulation of protein stability (GO:0031647)	53	48	35.78	+	1.34	1.69E-04	1.43E-03
protein transport (GO:0015031)	473	428	319.30	+	1.34	1.85E-32	1.51E-30
regulation of actin cytoskeleton organization (GO:0032956)	42	38	28.35	+	1.34	7.90E-04	5.61E-03
cytokinesis (GO:0000910)	105	95	70.88	+	1.34	4.75E-08	7.58E-07
regulation of stomatal closure (GO:0090333)	42	38	28.35	+	1.34	7.90E-04	5.60E-03
protein localization to nucleus (GO:0034504)	63	57	42.53	+	1.34	3.48E-05	3.39E-04
immune response-regulating signaling pathway (GO:0002764)	42	38	28.35	+	1.34	7.90E-04	5.59E-03
immune response-activating signaling pathway (GO:0002757)	42	38	28.35	+	1.34	7.90E-04	5.59E-03
protein localization (GO:0008104)	691	625	466.46	+	1.34	6.93E-47	9.04E-45
auxin polar transport (GO:0009926)	73	66	49.28	+	1.34	7.27E-06	8.06E-05
defense response to virus (GO:0051607)	52	47	35.10	+	1.34	1.64E-04	1.38E-03
microtubule cytoskeleton organization (GO:0000226)	187	169	126.23	+	1.34	2.44E-13	6.59E-12
cellular localization (GO:0051641)	986	891	665.60	+	1.34	1.96E-66	5.11E-64
response to reactive oxygen species (GO:0000302)	166	150	112.06	+	1.34	5.05E-12	1.24E-10
regulation of monoatomic ion transport (GO:0043269)	31	28	20.93	+	1.34	6.13E-03	3.27E-02
cellular response to auxin stimulus (GO:0071365)	93	84	62.78	+	1.34	3.32E-07	4.63E-06
regulation of salicylic acid mediated signaling pathway (GO:2000031)	31	28	20.93	+	1.34	6.13E-03	3.26E-02
response to blue light (GO:0009637)	93	84	62.78	+	1.34	3.32E-07	4.61E-06
polyol biosynthetic process (GO:0046173)	31	28	20.93	+	1.34	6.13E-03	3.26E-02
regulation of stomatal movement (GO:0010119)	113	102	76.28	+	1.34	2.44E-08	4.01E-07
mitochondrial transport (GO:0006839)	82	74	55.35	+	1.34	2.36E-06	2.84E-05
cell redox homeostasis (GO:0045454)	41	37	27.68	+	1.34	1.21E-03	8.22E-03
regulation of cell wall organization or biogenesis (GO:1903338)	41	37	27.68	+	1.34	1.21E-03	8.21E-03
cell cycle G1/S phase transition (GO:0044843)	41	37	27.68	+	1.34	1.21E-03	8.20E-03
regulation of mRNA metabolic process (GO:1903311)	92	83	62.10	+	1.34	5.02E-07	6.74E-06
response to virus (GO:0009615)	92	83	62.10	+	1.34	5.02E-07	6.72E-06
response to molecule of bacterial origin (GO:0002237)	51	46	34.43	+	1.34	2.47E-04	1.99E-03
mitochondrial respirasome assembly (GO:0097250)	51	46	34.43	+	1.34	2.47E-04	1.99E-03
microtubule-based process (GO:0007017)	234	211	157.96	+	1.34	4.21E-16	1.29E-14
cellular macromolecule localization (GO:0070727)	722	651	487.39	+	1.34	1.02E-47	1.43E-45
intracellular calcium ion homeostasis (GO:0006874)	61	55	41.18	+	1.34	5.17E-05	4.88E-04
actin filament organization (GO:0007015)	101	91	68.18	+	1.33	1.64E-07	2.44E-06
post-Golgi vesicle-mediated transport (GO:0006892)	60	54	40.50	+	1.33	7.85E-05	7.14E-04
positive regulation of innate immune response (GO:0045089)	70	63	47.25	+	1.33	1.65E-05	1.73E-04
nucleosome assembly (GO:0006334)	30	27	20.25	+	1.33	6.07E-03	3.25E-02
protein import into chloroplast stroma (GO:0045037)	30	27	20.25	+	1.33	6.07E-03	3.25E-02
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	30	27	20.25	+	1.33	6.07E-03	3.24E-02
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	30	27	20.25	+	1.33	6.07E-03	3.24E-02
G1/S transition of mitotic cell cycle (GO:0000082)	40	36	27.00	+	1.33	1.89E-03	1.22E-02
cytoplasmic translation (GO:0002181)	80	72	54.00	+	1.33	3.52E-06	4.08E-05
regulation of auxin mediated signaling pathway (GO:0010928)	50	45	33.75	+	1.33	3.80E-04	2.96E-03
regulation of protein catabolic process (GO:0042176)	40	36	27.00	+	1.33	1.89E-03	1.22E-02
response to monosaccharide (GO:0034284)	80	72	54.00	+	1.33	3.52E-06	4.07E-05
positive regulation of cell cycle (GO:0045787)	40	36	27.00	+	1.33	1.89E-03	1.22E-02
photoperiodism (GO:0009648)	89	80	60.08	+	1.33	1.13E-06	1.45E-05
protein localization to mitochondrion (GO:0070585)	59	53	39.83	+	1.33	1.21E-04	1.04E-03
establishment of protein localization to mitochondrion (GO:0072655)	59	53	39.83	+	1.33	1.21E-04	1.04E-03
regulation of mRNA catabolic process (GO:0061013)	59	53	39.83	+	1.33	1.21E-04	1.04E-03
DNA recombination (GO:0006310)	167	150	112.73	+	1.33	1.93E-11	4.50E-10
DNA conformation change (GO:0071103)	49	44	33.08	+	1.33	3.79E-04	2.96E-03
calcium ion transport (GO:0006816)	78	70	52.65	+	1.33	8.15E-06	9.00E-05
pyruvate metabolic process (GO:0006090)	78	70	52.65	+	1.33	8.15E-06	8.98E-05
vesicle-mediated transport to the plasma membrane (GO:0098876)	39	35	26.33	+	1.33	1.83E-03	1.19E-02
multivesicular body sorting pathway (GO:0071985)	39	35	26.33	+	1.33	1.83E-03	1.19E-02
protein localization to membrane (GO:0072657)	146	131	98.56	+	1.33	4.01E-10	8.13E-09
glycerolipid biosynthetic process (GO:0045017)	136	122	91.81	+	1.33	1.83E-09	3.50E-08
response to high light intensity (GO:0009644)	68	61	45.90	+	1.33	3.91E-05	3.79E-04
organic hydroxy compound transport (GO:0015850)	29	26	19.58	+	1.33	9.13E-03	4.55E-02
establishment of plastid localization (GO:0051667)	29	26	19.58	+	1.33	9.13E-03	4.54E-02
acetyl-CoA metabolic process (GO:0006084)	29	26	19.58	+	1.33	9.13E-03	4.54E-02
chloroplast relocation (GO:0009902)	29	26	19.58	+	1.33	9.13E-03	4.53E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	29	26	19.58	+	1.33	9.13E-03	4.53E-02
glucose metabolic process (GO:0006006)	48	43	32.40	+	1.33	5.64E-04	4.18E-03
positive regulation of catabolic process (GO:0009896)	86	77	58.05	+	1.33	2.56E-06	3.06E-05
mitochondrial RNA metabolic process (GO:0000959)	57	51	38.48	+	1.33	1.77E-04	1.48E-03
cellular catabolic process (GO:0044248)	247	221	166.74	+	1.33	8.73E-16	2.64E-14
response to absence of light (GO:0009646)	57	51	38.48	+	1.33	1.77E-04	1.48E-03
vitamin biosynthetic process (GO:0009110)	76	68	51.30	+	1.33	1.19E-05	1.29E-04
endosome transport via multivesicular body sorting pathway (GO:0032509)	38	34	25.65	+	1.33	2.75E-03	1.66E-02
response to hexose (GO:0009746)	76	68	51.30	+	1.33	1.19E-05	1.28E-04
glycerolipid metabolic process (GO:0046486)	198	177	133.66	+	1.32	7.34E-13	1.85E-11
RNA processing (GO:0006396)	828	740	558.94	+	1.32	1.87E-50	2.92E-48
negative regulation of response to stimulus (GO:0048585)	254	227	171.46	+	1.32	4.11E-16	1.26E-14
regulation of polysaccharide metabolic process (GO:0032881)	47	42	31.73	+	1.32	8.52E-04	5.96E-03
organelle localization by membrane tethering (GO:0140056)	47	42	31.73	+	1.32	8.52E-04	5.95E-03
membrane docking (GO:0022406)	47	42	31.73	+	1.32	8.52E-04	5.95E-03
monosaccharide biosynthetic process (GO:0046364)	47	42	31.73	+	1.32	8.52E-04	5.94E-03
rRNA metabolic process (GO:0016072)	263	235	177.54	+	1.32	1.36E-16	4.30E-15
cell division (GO:0051301)	216	193	145.81	+	1.32	7.99E-14	2.22E-12
ribosome biogenesis (GO:0042254)	328	293	221.42	+	1.32	2.53E-20	1.06E-18
localization within membrane (GO:0051668)	178	159	120.16	+	1.32	1.56E-11	3.68E-10
regulation of defense response to bacterium (GO:1900424)	56	50	37.80	+	1.32	2.68E-04	2.14E-03
glutamine family amino acid metabolic process (GO:0009064)	56	50	37.80	+	1.32	2.68E-04	2.13E-03
endocytosis (GO:0006897)	84	75	56.70	+	1.32	5.81E-06	6.52E-05
calcium ion homeostasis (GO:0055074)	65	58	43.88	+	1.32	8.56E-05	7.73E-04
auxin-activated signaling pathway (GO:0009734)	65	58	43.88	+	1.32	8.56E-05	7.72E-04
RNA catabolic process (GO:0006401)	102	91	68.86	+	1.32	4.02E-07	5.54E-06
inorganic ion homeostasis (GO:0098771)	204	182	137.71	+	1.32	5.31E-13	1.38E-11
ribonucleoprotein complex biogenesis (GO:0022613)	407	363	274.75	+	1.32	1.00E-24	5.61E-23
photoperiodism, flowering (GO:0048573)	74	66	49.95	+	1.32	2.76E-05	2.77E-04
photomorphogenesis (GO:0009640)	83	74	56.03	+	1.32	5.75E-06	6.46E-05
cytoskeleton organization (GO:0007010)	313	279	211.29	+	1.32	3.62E-19	1.41E-17
mRNA modification (GO:0016556)	46	41	31.05	+	1.32	1.31E-03	8.76E-03
response to salt (GO:1902074)	46	41	31.05	+	1.32	1.31E-03	8.75E-03
positive regulation of mRNA catabolic process (GO:0061014)	46	41	31.05	+	1.32	1.31E-03	8.74E-03
pyrimidine-containing compound biosynthetic process (GO:0072528)	46	41	31.05	+	1.32	1.31E-03	8.73E-03
response to oxidative stress (GO:0006979)	460	410	310.52	+	1.32	1.18E-27	7.86E-26
auxin transport (GO:0060918)	101	90	68.18	+	1.32	5.89E-07	7.78E-06
RNA modification (GO:0009451)	358	319	241.67	+	1.32	9.03E-22	4.02E-20
organelle organization (GO:0006996)	1422	1267	959.92	+	1.32	1.20E-84	4.39E-82
water-soluble vitamin biosynthetic process (GO:0042364)	55	49	37.13	+	1.32	4.14E-04	3.18E-03
import into nucleus (GO:0051170)	55	49	37.13	+	1.32	4.14E-04	3.18E-03
nucleic acid catabolic process (GO:0141188)	110	98	74.26	+	1.32	1.91E-07	2.77E-06
pyridine nucleotide metabolic process (GO:0019362)	119	106	80.33	+	1.32	6.19E-08	9.77E-07
mitochondrion organization (GO:0007005)	137	122	92.48	+	1.32	6.65E-09	1.18E-07
membrane organization (GO:0061024)	264	235	178.21	+	1.32	3.17E-16	9.81E-15
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	100	89	67.51	+	1.32	8.80E-07	1.14E-05
regulation of cellular component biogenesis (GO:0044087)	100	89	67.51	+	1.32	8.80E-07	1.14E-05
nicotinamide nucleotide metabolic process (GO:0046496)	118	105	79.66	+	1.32	9.39E-08	1.45E-06
regulation of organelle organization (GO:0033043)	154	137	103.96	+	1.32	6.91E-10	1.38E-08
response to light intensity (GO:0009642)	163	145	110.03	+	1.32	2.25E-10	4.69E-09
organophosphate biosynthetic process (GO:0090407)	388	345	261.92	+	1.32	4.89E-23	2.31E-21
regulation of supramolecular fiber organization (GO:1902903)	36	32	24.30	+	1.32	4.19E-03	2.35E-02
regulation of DNA endoreduplication (GO:0032875)	36	32	24.30	+	1.32	4.19E-03	2.35E-02
protein polymerization (GO:0051258)	36	32	24.30	+	1.32	4.19E-03	2.34E-02
cell wall polysaccharide biosynthetic process (GO:0070592)	98	87	66.15	+	1.32	1.30E-06	1.64E-05
response to glucose (GO:0009749)	71	63	47.93	+	1.31	5.97E-05	5.55E-04
modified amino acid metabolic process (GO:0006575)	115	102	77.63	+	1.31	2.03E-07	2.94E-06
organelle localization (GO:0051640)	141	125	95.18	+	1.31	6.85E-09	1.21E-07
regulation of cell cycle process (GO:0010564)	141	125	95.18	+	1.31	6.85E-09	1.20E-07
response to UV (GO:0009411)	132	117	89.11	+	1.31	2.11E-08	3.53E-07
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	44	39	29.70	+	1.31	1.89E-03	1.22E-02
negative regulation of cell cycle phase transition (GO:1901988)	44	39	29.70	+	1.31	1.89E-03	1.21E-02
